instance_name,split,town,weather_preset,num_routes,scenario_class,scenario_module
braking_lead_vehicle_with_lane_debris__Town06__variant2__wx2_WetNoon,test,Town06,WetNoon,1,BrakingLeadVehicleWithLaneDebrisTown06Variant2,braking_lead_vehicle_with_lane_debris_town06_variant2.py
braking_lead_vehicle_with_lane_debris__Town06__variant3__wx1_ClearSunset,test,Town06,ClearSunset,1,BrakingLeadVehicleWithLaneDebrisTown06Variant3,braking_lead_vehicle_with_lane_debris_town06_variant3.py
braking_lead_vehicle_with_lane_debris__Town06__variant3__wx2_ClearNight,test,Town06,ClearNight,1,BrakingLeadVehicleWithLaneDebrisTown06Variant3,braking_lead_vehicle_with_lane_debris_town06_variant3.py
braking_lead_vehicle_with_lane_debris__Town12__variant1__wx1_WetNoon,train,Town12,WetNoon,1,BrakingLeadVehicleWithLaneDebrisTown12Variant1,braking_lead_vehicle_with_lane_debris_town12_variant1.py
braking_lead_vehicle_with_lane_debris__Town12__variant1__wx2_ClearNight,train,Town12,ClearNight,1,BrakingLeadVehicleWithLaneDebrisTown12Variant1,braking_lead_vehicle_with_lane_debris_town12_variant1.py
braking_lead_vehicle_with_lane_debris__Town12__variant2__wx1_SoftRainNoon,test,Town12,SoftRainNoon,1,BrakingLeadVehicleWithLaneDebrisTown12Variant2,braking_lead_vehicle_with_lane_debris_town12_variant2.py
braking_lead_vehicle_with_lane_debris__Town12__variant2__wx2_WetNight,test,Town12,WetNight,1,BrakingLeadVehicleWithLaneDebrisTown12Variant2,braking_lead_vehicle_with_lane_debris_town12_variant2.py
braking_lead_vehicle_with_lane_debris__Town12__variant3__wx1_MidRainSunset,test,Town12,MidRainSunset,1,BrakingLeadVehicleWithLaneDebrisTown12Variant3,braking_lead_vehicle_with_lane_debris_town12_variant3.py
braking_lead_vehicle_with_lane_debris__Town12__variant3__wx2_WetNoon,test,Town12,WetNoon,1,BrakingLeadVehicleWithLaneDebrisTown12Variant3,braking_lead_vehicle_with_lane_debris_town12_variant3.py
braking_lead_vehicle_with_lane_debris__Town13__variant1__wx1_MidRainSunset,train,Town13,MidRainSunset,1,BrakingLeadVehicleWithLaneDebrisTown13Variant1,braking_lead_vehicle_with_lane_debris_town13_variant1.py
braking_lead_vehicle_with_lane_debris__Town13__variant1__wx2_WetNoon,train,Town13,WetNoon,1,BrakingLeadVehicleWithLaneDebrisTown13Variant1,braking_lead_vehicle_with_lane_debris_town13_variant1.py
braking_lead_vehicle_with_lane_debris__Town13__variant2__wx1_WetCloudySunset,test,Town13,WetCloudySunset,1,BrakingLeadVehicleWithLaneDebrisTown13Variant2,braking_lead_vehicle_with_lane_debris_town13_variant2.py
braking_lead_vehicle_with_lane_debris__Town13__variant2__wx2_HardRainNoon,test,Town13,HardRainNoon,1,BrakingLeadVehicleWithLaneDebrisTown13Variant2,braking_lead_vehicle_with_lane_debris_town13_variant2.py
braking_lead_vehicle_with_lane_debris__Town13__variant3__wx1_HardRainNoon,test,Town13,HardRainNoon,1,BrakingLeadVehicleWithLaneDebrisTown13Variant3,braking_lead_vehicle_with_lane_debris_town13_variant3.py
braking_lead_vehicle_with_lane_debris__Town13__variant3__wx2_ClearNoon,test,Town13,ClearNoon,1,BrakingLeadVehicleWithLaneDebrisTown13Variant3,braking_lead_vehicle_with_lane_debris_town13_variant3.py
cross_traffic_red_light_violation__Town03__wx1_SoftRainNoon,train,Town03,SoftRainNoon,1,CrossTrafficRedLightViolationTown03,cross_traffic_red_light_violation_town03.py
cross_traffic_red_light_violation__Town03__wx2_CloudyNoon,train,Town03,CloudyNoon,1,CrossTrafficRedLightViolationTown03,cross_traffic_red_light_violation_town03.py
cross_traffic_red_light_violation__Town12__wx1_ClearNight,test,Town12,ClearNight,1,CrossTrafficRedLightViolationTown12,cross_traffic_red_light_violation_town12.py
cross_traffic_red_light_violation__Town12__wx2_ClearSunset,test,Town12,ClearSunset,1,CrossTrafficRedLightViolationTown12,cross_traffic_red_light_violation_town12.py
cyclist_topples_into_lane__Town03__wx1_ClearNight,test,Town03,ClearNight,1,CyclistTopplesIntoLaneTown03,cyclist_topples_into_lane_town03.py
cyclist_topples_into_lane__Town03__wx2_SoftRainNoon,test,Town03,SoftRainNoon,1,CyclistTopplesIntoLaneTown03,cyclist_topples_into_lane_town03.py
cyclist_topples_into_lane__Town11__variant1__wx1_WetNight,test,Town11,WetNight,1,CyclistTopplesIntoLaneTown11Variant1,cyclist_topples_into_lane_town11_variant1.py
cyclist_topples_into_lane__Town11__variant1__wx2_ClearNoon,test,Town11,ClearNoon,1,CyclistTopplesIntoLaneTown11Variant1,cyclist_topples_into_lane_town11_variant1.py
cyclist_topples_into_lane__Town11__variant2__wx1_WetNoon,test,Town11,WetNoon,1,CyclistTopplesIntoLaneTown11Variant2,cyclist_topples_into_lane_town11_variant2.py
cyclist_topples_into_lane__Town11__variant2__wx2_HardRainNoon,test,Town11,HardRainNoon,1,CyclistTopplesIntoLaneTown11Variant2,cyclist_topples_into_lane_town11_variant2.py
decelerating_cut_in_with_blocked_escape__Town12__wx1_SoftRainNoon,test,Town12,SoftRainNoon,1,DeceleratingCutInWithBlockedEscapeTown12,decelerating_cut_in_with_blocked_escape_town12.py
decelerating_cut_in_with_blocked_escape__Town12__wx2_WetNight,test,Town12,WetNight,1,DeceleratingCutInWithBlockedEscapeTown12,decelerating_cut_in_with_blocked_escape_town12.py
heavy_truck_cut_in_and_slows__Town12__wx1_MidRainSunset,train,Town12,MidRainSunset,1,HeavyTruckCutInAndSlowsTown12,heavy_truck_cut_in_and_slows_town12.py
heavy_truck_cut_in_and_slows__Town12__wx2_WetCloudySunset,train,Town12,WetCloudySunset,1,HeavyTruckCutInAndSlowsTown12,heavy_truck_cut_in_and_slows_town12.py
heavy_truck_slides_across_lanes__Town06__wx1_ClearNoon,train,Town06,ClearNoon,1,HeavyTruckSlidesAcrossLanesTown06,heavy_truck_slides_across_lanes_town06.py
heavy_truck_slides_across_lanes__Town06__wx2_WetNight,train,Town06,WetNight,1,HeavyTruckSlidesAcrossLanesTown06,heavy_truck_slides_across_lanes_town06.py
heavy_truck_slides_across_lanes__Town12__wx1_CloudyNoon,train,Town12,CloudyNoon,1,HeavyTruckSlidesAcrossLanesTown12,heavy_truck_slides_across_lanes_town12.py
heavy_truck_slides_across_lanes__Town12__wx2_WetNoon,train,Town12,WetNoon,1,HeavyTruckSlidesAcrossLanesTown12,heavy_truck_slides_across_lanes_town12.py
heavy_truck_slides_across_lanes__Town13__wx1_SoftRainNoon,train,Town13,SoftRainNoon,1,HeavyTruckSlidesAcrossLanesTown13,heavy_truck_slides_across_lanes_town13.py
heavy_truck_slides_across_lanes__Town13__wx2_HardRainNoon,train,Town13,HardRainNoon,1,HeavyTruckSlidesAcrossLanesTown13,heavy_truck_slides_across_lanes_town13.py
highway_multi_obstacle_suite__Town04__wx1_ClearNight,train,Town04,ClearNight,6,HighwayMultiObstacleSuiteTown04,highway_multi_obstacle_suite_town04.py
highway_multi_obstacle_suite__Town04__wx2_ClearNoon,train,Town04,ClearNoon,6,HighwayMultiObstacleSuiteTown04,highway_multi_obstacle_suite_town04.py
launched_barrel_crosses_lane__Town04__wx1_ClearNoon,test,Town04,ClearNoon,1,LaunchedBarrelCrossesLaneTown04,launched_barrel_crosses_lane_town04.py
launched_barrel_crosses_lane__Town04__wx2_HardRainNoon,test,Town04,HardRainNoon,1,LaunchedBarrelCrossesLaneTown04,launched_barrel_crosses_lane_town04.py
lead_swerve_reveals_braking_vehicle__Town04__wx1_CloudyNoon,test,Town04,CloudyNoon,1,LeadSwerveRevealsBrakingVehicleTown04,lead_swerve_reveals_braking_vehicle_town04.py
lead_swerve_reveals_braking_vehicle__Town04__wx2_WetNoon,test,Town04,WetNoon,1,LeadSwerveRevealsBrakingVehicleTown04,lead_swerve_reveals_braking_vehicle_town04.py
lead_swerve_reveals_braking_vehicle__Town12__wx1_HardRainNoon,test,Town12,HardRainNoon,1,LeadSwerveRevealsBrakingVehicleTown12,lead_swerve_reveals_braking_vehicle_town12.py
lead_swerve_reveals_braking_vehicle__Town12__wx2_CloudyNoon,test,Town12,CloudyNoon,1,LeadSwerveRevealsBrakingVehicleTown12,lead_swerve_reveals_braking_vehicle_town12.py
lead_vehicle_brakes_to_full_stop__Town04__wx1_ClearSunset,test,Town04,ClearSunset,1,LeadVehicleBrakesToFullStopTown04,lead_vehicle_brakes_to_full_stop_town04.py
lead_vehicle_brakes_to_full_stop__Town04__wx2_WetNight,test,Town04,WetNight,1,LeadVehicleBrakesToFullStopTown04,lead_vehicle_brakes_to_full_stop_town04.py
lead_vehicle_brakes_to_full_stop__Town12__wx1_CloudyNoon,test,Town12,CloudyNoon,1,LeadVehicleBrakesToFullStopTown12,lead_vehicle_brakes_to_full_stop_town12.py
lead_vehicle_brakes_to_full_stop__Town12__wx2_SoftRainNoon,test,Town12,SoftRainNoon,1,LeadVehicleBrakesToFullStopTown12,lead_vehicle_brakes_to_full_stop_town12.py
lead_vehicle_brakes_to_full_stop__Town13__wx1_ClearNight,test,Town13,ClearNight,1,LeadVehicleBrakesToFullStopTown13,lead_vehicle_brakes_to_full_stop_town13.py
lead_vehicle_brakes_to_full_stop__Town13__wx2_MidRainSunset,test,Town13,MidRainSunset,1,LeadVehicleBrakesToFullStopTown13,lead_vehicle_brakes_to_full_stop_town13.py
lead_vehicle_debris_field_and_shoulder_exit__Town04__wx1_WetNight,test,Town04,WetNight,1,LeadVehicleDebrisFieldAndShoulderExitTown04,lead_vehicle_debris_field_and_shoulder_exit_town04.py
lead_vehicle_debris_field_and_shoulder_exit__Town04__wx2_ClearNight,test,Town04,ClearNight,1,LeadVehicleDebrisFieldAndShoulderExitTown04,lead_vehicle_debris_field_and_shoulder_exit_town04.py
lead_vehicle_debris_field_and_shoulder_exit__Town06__wx1_HardRainNoon,test,Town06,HardRainNoon,1,LeadVehicleDebrisFieldAndShoulderExitTown06,lead_vehicle_debris_field_and_shoulder_exit_town06.py
lead_vehicle_debris_field_and_shoulder_exit__Town06__wx2_ClearNoon,test,Town06,ClearNoon,1,LeadVehicleDebrisFieldAndShoulderExitTown06,lead_vehicle_debris_field_and_shoulder_exit_town06.py
lead_vehicle_debris_field_and_shoulder_exit__Town12__wx1_SoftRainNoon,test,Town12,SoftRainNoon,1,LeadVehicleDebrisFieldAndShoulderExitTown12,lead_vehicle_debris_field_and_shoulder_exit_town12.py
lead_vehicle_debris_field_and_shoulder_exit__Town12__wx2_WetNoon,test,Town12,WetNoon,1,LeadVehicleDebrisFieldAndShoulderExitTown12,lead_vehicle_debris_field_and_shoulder_exit_town12.py
lead_vehicle_debris_field_and_shoulder_exit__Town13__wx1_WetCloudySunset,test,Town13,WetCloudySunset,1,LeadVehicleDebrisFieldAndShoulderExitTown13,lead_vehicle_debris_field_and_shoulder_exit_town13.py
lead_vehicle_debris_field_and_shoulder_exit__Town13__wx2_WetNoon,test,Town13,WetNoon,1,LeadVehicleDebrisFieldAndShoulderExitTown13,lead_vehicle_debris_field_and_shoulder_exit_town13.py
low_grip_adjacent_vehicle_spin_blocks_lane__Town04__wx1_CloudyNoon,test,Town04,CloudyNoon,1,LowGripAdjacentVehicleSpinBlocksLaneTown04,low_grip_adjacent_vehicle_spin_blocks_lane_town04.py
low_grip_adjacent_vehicle_spin_blocks_lane__Town04__wx2_MidRainSunset,test,Town04,MidRainSunset,1,LowGripAdjacentVehicleSpinBlocksLaneTown04,low_grip_adjacent_vehicle_spin_blocks_lane_town04.py
low_grip_adjacent_vehicle_spin_blocks_lane__Town06__wx1_CloudyNoon,test,Town06,CloudyNoon,1,LowGripAdjacentVehicleSpinBlocksLaneTown06,low_grip_adjacent_vehicle_spin_blocks_lane_town06.py
low_grip_adjacent_vehicle_spin_blocks_lane__Town06__wx2_MidRainSunset,test,Town06,MidRainSunset,1,LowGripAdjacentVehicleSpinBlocksLaneTown06,low_grip_adjacent_vehicle_spin_blocks_lane_town06.py
low_grip_cut_in_with_spinout__Town04__wx1_MidRainSunset,test,Town04,MidRainSunset,1,LowGripCutInWithSpinoutTown04,low_grip_cut_in_with_spinout_town04.py
low_grip_cut_in_with_spinout__Town04__wx2_WetCloudySunset,test,Town04,WetCloudySunset,1,LowGripCutInWithSpinoutTown04,low_grip_cut_in_with_spinout_town04.py
low_grip_overtake_spinout_blocks_lane__Town04__wx1_HardRainNoon,train,Town04,HardRainNoon,1,LowGripOvertakeSpinoutBlocksLaneTown04,low_grip_overtake_spinout_blocks_lane_town04.py
low_grip_overtake_spinout_blocks_lane__Town04__wx2_ClearNoon,train,Town04,ClearNoon,1,LowGripOvertakeSpinoutBlocksLaneTown04,low_grip_overtake_spinout_blocks_lane_town04.py
low_grip_vehicle_pair_collision_blocks_lane__Town06__wx1_WetNoon,train,Town06,WetNoon,1,LowGripVehiclePairCollisionBlocksLaneTown06,low_grip_vehicle_pair_collision_blocks_lane_town06.py
low_grip_vehicle_pair_collision_blocks_lane__Town06__wx2_WetNight,train,Town06,WetNight,1,LowGripVehiclePairCollisionBlocksLaneTown06,low_grip_vehicle_pair_collision_blocks_lane_town06.py
low_grip_vehicle_pair_collision_blocks_lane__Town12__wx1_ClearNoon,train,Town12,ClearNoon,1,LowGripVehiclePairCollisionBlocksLaneTown12,low_grip_vehicle_pair_collision_blocks_lane_town12.py
low_grip_vehicle_pair_collision_blocks_lane__Town12__wx2_ClearSunset,train,Town12,ClearSunset,1,LowGripVehiclePairCollisionBlocksLaneTown12,low_grip_vehicle_pair_collision_blocks_lane_town12.py
low_grip_vehicle_pair_collision_blocks_lane__Town13__wx1_CloudyNoon,train,Town13,CloudyNoon,1,LowGripVehiclePairCollisionBlocksLaneTown13,low_grip_vehicle_pair_collision_blocks_lane_town13.py
low_grip_vehicle_pair_collision_blocks_lane__Town13__wx2_WetNoon,train,Town13,WetNoon,1,LowGripVehiclePairCollisionBlocksLaneTown13,low_grip_vehicle_pair_collision_blocks_lane_town13.py
motorcycle_cuts_in_and_slows__Town04__wx1_ClearNight,test,Town04,ClearNight,1,MotorcycleCutsInAndSlowsTown04,motorcycle_cuts_in_and_slows_town04.py
motorcycle_cuts_in_and_slows__Town04__wx2_SoftRainNoon,test,Town04,SoftRainNoon,1,MotorcycleCutsInAndSlowsTown04,motorcycle_cuts_in_and_slows_town04.py
motorcycle_cuts_in_and_slows__Town15__variant1__wx1_SoftRainNoon,test,Town15,SoftRainNoon,1,MotorcycleCutsInAndSlowsTown15Variant1,motorcycle_cuts_in_and_slows_town15_variant1.py
motorcycle_cuts_in_and_slows__Town15__variant1__wx2_WetNoon,test,Town15,WetNoon,1,MotorcycleCutsInAndSlowsTown15Variant1,motorcycle_cuts_in_and_slows_town15_variant1.py
motorcycle_cuts_in_and_slows__Town15__variant2__wx1_WetNight,test,Town15,WetNight,1,MotorcycleCutsInAndSlowsTown15Variant2,motorcycle_cuts_in_and_slows_town15_variant2.py
motorcycle_cuts_in_and_slows__Town15__variant2__wx2_SoftRainNoon,test,Town15,SoftRainNoon,1,MotorcycleCutsInAndSlowsTown15Variant2,motorcycle_cuts_in_and_slows_town15_variant2.py
night_crash_scene_with_pedestrian__Town04__wx1_ClearNoon,test,Town04,ClearNoon,1,NightCrashSceneWithPedestrianTown04,night_crash_scene_with_pedestrian_town04.py
night_crash_scene_with_pedestrian__Town04__wx2_WetNoon,test,Town04,WetNoon,1,NightCrashSceneWithPedestrianTown04,night_crash_scene_with_pedestrian_town04.py
occluded_driveway_pullout_blocks_lane__Town03__variant1__wx1_MidRainSunset,train,Town03,MidRainSunset,1,OccludedDrivewayPulloutBlocksLaneTown03Variant1,occluded_driveway_pullout_blocks_lane_town03_variant1.py
occluded_driveway_pullout_blocks_lane__Town03__variant1__wx2_SoftRainNoon,train,Town03,SoftRainNoon,1,OccludedDrivewayPulloutBlocksLaneTown03Variant1,occluded_driveway_pullout_blocks_lane_town03_variant1.py
occluded_driveway_pullout_blocks_lane__Town03__variant2__wx1_WetNight,train,Town03,WetNight,1,OccludedDrivewayPulloutBlocksLaneTown03Variant2,occluded_driveway_pullout_blocks_lane_town03_variant2.py
occluded_driveway_pullout_blocks_lane__Town03__variant2__wx2_HardRainNoon,train,Town03,HardRainNoon,1,OccludedDrivewayPulloutBlocksLaneTown03Variant2,occluded_driveway_pullout_blocks_lane_town03_variant2.py
occluded_driveway_pullout_blocks_lane__Town03__variant3__wx1_ClearNight,train,Town03,ClearNight,1,OccludedDrivewayPulloutBlocksLaneTown03Variant3,occluded_driveway_pullout_blocks_lane_town03_variant3.py
occluded_driveway_pullout_blocks_lane__Town03__variant3__wx2_WetCloudySunset,train,Town03,WetCloudySunset,1,OccludedDrivewayPulloutBlocksLaneTown03Variant3,occluded_driveway_pullout_blocks_lane_town03_variant3.py
oncoming_motorcycle_during_left_turn__Town03__wx1_WetCloudySunset,test,Town03,WetCloudySunset,1,OncomingMotorcycleDuringLeftTurnTown03,oncoming_motorcycle_during_left_turn_town03.py
oncoming_motorcycle_during_left_turn__Town03__wx2_SoftRainNoon,test,Town03,SoftRainNoon,1,OncomingMotorcycleDuringLeftTurnTown03,oncoming_motorcycle_during_left_turn_town03.py
oncoming_vehicle_head_on_intrusion__Town01__wx1_WetNight,test,Town01,WetNight,1,OncomingVehicleHeadOnIntrusionTown01,oncoming_vehicle_head_on_intrusion_town01.py
oncoming_vehicle_head_on_intrusion__Town01__wx2_ClearSunset,test,Town01,ClearSunset,1,OncomingVehicleHeadOnIntrusionTown01,oncoming_vehicle_head_on_intrusion_town01.py
oncoming_vehicle_head_on_intrusion__Town12__wx1_HardRainNoon,test,Town12,HardRainNoon,1,OncomingVehicleHeadOnIntrusionTown12,oncoming_vehicle_head_on_intrusion_town12.py
oncoming_vehicle_head_on_intrusion__Town12__wx2_MidRainSunset,test,Town12,MidRainSunset,1,OncomingVehicleHeadOnIntrusionTown12,oncoming_vehicle_head_on_intrusion_town12.py
oncoming_vehicle_head_on_intrusion__Town13__wx1_ClearSunset,test,Town13,ClearSunset,1,OncomingVehicleHeadOnIntrusionTown13,oncoming_vehicle_head_on_intrusion_town13.py
oncoming_vehicle_head_on_intrusion__Town13__wx2_ClearNoon,test,Town13,ClearNoon,1,OncomingVehicleHeadOnIntrusionTown13,oncoming_vehicle_head_on_intrusion_town13.py
overtaking_vehicle_cuts_in_and_blocks_lane__Town04__wx1_WetNoon,train,Town04,WetNoon,1,OvertakingVehicleCutsInAndBlocksLaneTown04,overtaking_vehicle_cuts_in_and_blocks_lane_town04.py
overtaking_vehicle_cuts_in_and_blocks_lane__Town04__wx2_WetNight,train,Town04,WetNight,1,OvertakingVehicleCutsInAndBlocksLaneTown04,overtaking_vehicle_cuts_in_and_blocks_lane_town04.py
parked_car_door_opens_into_lane__Town03__wx1_SoftRainNoon,test,Town03,SoftRainNoon,1,ParkedCarDoorOpensIntoLaneTown03,parked_car_door_opens_into_lane_town03.py
parked_car_door_opens_into_lane__Town03__wx2_ClearNight,test,Town03,ClearNight,1,ParkedCarDoorOpensIntoLaneTown03,parked_car_door_opens_into_lane_town03.py
parked_car_reverses_into_lane__Town03__wx1_MidRainSunset,test,Town03,MidRainSunset,1,ParkedCarReversesIntoLaneTown03,parked_car_reverses_into_lane_town03.py
parked_car_reverses_into_lane__Town03__wx2_WetNoon,test,Town03,WetNoon,1,ParkedCarReversesIntoLaneTown03,parked_car_reverses_into_lane_town03.py
pedestrian_darts_from_behind_bus__Town03__wx1_SoftRainNoon,train,Town03,SoftRainNoon,1,PedestrianDartsFromBehindBusTown03,pedestrian_darts_from_behind_bus_town03.py
pedestrian_darts_from_behind_bus__Town03__wx2_ClearSunset,train,Town03,ClearSunset,1,PedestrianDartsFromBehindBusTown03,pedestrian_darts_from_behind_bus_town03.py
pedestrian_darts_from_behind_bus__Town07__wx1_ClearNoon,train,Town07,ClearNoon,1,PedestrianDartsFromBehindBusTown07,pedestrian_darts_from_behind_bus_town07.py
pedestrian_darts_from_behind_bus__Town07__wx2_WetNoon,train,Town07,WetNoon,1,PedestrianDartsFromBehindBusTown07,pedestrian_darts_from_behind_bus_town07.py
pedestrian_emerges_from_behind_van__Town03__wx1_ClearNoon,train,Town03,ClearNoon,1,PedestrianEmergesFromBehindVanTown03,pedestrian_emerges_from_behind_van_town03.py
pedestrian_emerges_from_behind_van__Town03__wx2_CloudyNoon,train,Town03,CloudyNoon,1,PedestrianEmergesFromBehindVanTown03,pedestrian_emerges_from_behind_van_town03.py
roadside_vehicle_merges_into_lane__Town05__wx1_ClearSunset,train,Town05,ClearSunset,1,RoadsideVehicleMergesIntoLaneTown05,roadside_vehicle_merges_into_lane_town05.py
roadside_vehicle_merges_into_lane__Town05__wx2_ClearNoon,train,Town05,ClearNoon,1,RoadsideVehicleMergesIntoLaneTown05,roadside_vehicle_merges_into_lane_town05.py
rolling_barrel_enters_lane__Town06__wx1_HardRainNoon,train,Town06,HardRainNoon,1,RollingBarrelEntersLaneTown06,rolling_barrel_enters_lane_town06.py
rolling_barrel_enters_lane__Town06__wx2_CloudyNoon,train,Town06,CloudyNoon,1,RollingBarrelEntersLaneTown06,rolling_barrel_enters_lane_town06.py
rolling_barrel_enters_lane__Town12__wx1_HardRainNoon,train,Town12,HardRainNoon,1,RollingBarrelEntersLaneTown12,rolling_barrel_enters_lane_town12.py
rolling_barrel_enters_lane__Town12__wx2_MidRainSunset,train,Town12,MidRainSunset,1,RollingBarrelEntersLaneTown12,rolling_barrel_enters_lane_town12.py
rolling_barrel_enters_lane__Town13__wx1_WetNoon,train,Town13,WetNoon,1,RollingBarrelEntersLaneTown13,rolling_barrel_enters_lane_town13.py
rolling_barrel_enters_lane__Town13__wx2_HardRainNoon,train,Town13,HardRainNoon,1,RollingBarrelEntersLaneTown13,rolling_barrel_enters_lane_town13.py
swerving_vehicle_intrusion_and_return__Town04__variant1__wx1_ClearNoon,train,Town04,ClearNoon,1,SwervingVehicleIntrusionAndReturnTown04Variant1,swerving_vehicle_intrusion_and_return_town04_variant1.py
swerving_vehicle_intrusion_and_return__Town04__variant1__wx2_HardRainNoon,train,Town04,HardRainNoon,1,SwervingVehicleIntrusionAndReturnTown04Variant1,swerving_vehicle_intrusion_and_return_town04_variant1.py
swerving_vehicle_intrusion_and_return__Town04__variant2__wx1_MidRainSunset,train,Town04,MidRainSunset,1,SwervingVehicleIntrusionAndReturnTown04Variant2,swerving_vehicle_intrusion_and_return_town04_variant2.py
swerving_vehicle_intrusion_and_return__Town04__variant2__wx2_WetNight,train,Town04,WetNight,1,SwervingVehicleIntrusionAndReturnTown04Variant2,swerving_vehicle_intrusion_and_return_town04_variant2.py
tailgating_vehicle_rear_end__Town04__wx1_WetCloudySunset,test,Town04,WetCloudySunset,1,TailgatingVehicleRearEndTown04,tailgating_vehicle_rear_end_town04.py
tailgating_vehicle_rear_end__Town04__wx2_ClearNoon,test,Town04,ClearNoon,1,TailgatingVehicleRearEndTown04,tailgating_vehicle_rear_end_town04.py
tailgating_vehicle_rear_end__Town13__wx1_ClearSunset,test,Town13,ClearSunset,1,TailgatingVehicleRearEndTown13,tailgating_vehicle_rear_end_town13.py
